,EVENT,DATE,LOCATION,BOUT,WINNER,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
0,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Islam Makhachev  vs  Renato Moicano,Islam Makhachev,UFC Lightweight Title Bout,Submission,1,4:05,5 Rnd (5-5-5-5-5),Herb Dean,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/daef1691c7d6b1e4
1,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Merab Dvalishvili  vs  Umar Nurmagomedov,Merab Dvalishvili,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Leben 47 - 48.Chris Crail 46 - 49.Mike Bell 47 - 48.,http://ufcstats.com/fight-details/f39941b3743bf18c
2,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Jiri Prochazka  vs  Jamahal Hill,Jiri Prochazka,Light Heavyweight Bout,KO/TKO,3,3:01,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground ,http://ufcstats.com/fight-details/959fea398ffa5778
3,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Jailton Almeida  vs  Serghei Spivac,Jailton Almeida,Heavyweight Bout,KO/TKO,1,4:53,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control ,http://ufcstats.com/fight-details/54d48b33e7240452
4,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Kevin Holland  vs  Reinier de Ridder,Reinier de Ridder,Middleweight Bout,Submission,1,3:31,3 Rnd (5-5-5),Frank Trigg,Rear Naked Choke ,http://ufcstats.com/fight-details/69d63c057aebffaf
5,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Payton Talbott  vs  Raoni Barcelos,Raoni Barcelos,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Leben 27 - 30.Jonathan Romero 27 - 30.Chris Crail 26 - 30.,http://ufcstats.com/fight-details/d14f98b24691d082
6,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Zachary Reese  vs  Azamat Bekoev,Azamat Bekoev,Middleweight Bout,KO/TKO,1,3:04,3 Rnd (5-5-5),Blake Grice,Punches to Head From Guard ,http://ufcstats.com/fight-details/938081fae11dcbbf
7,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Bogdan Guskov  vs  Billy Elekana,Bogdan Guskov,Light Heavyweight Bout,Submission,2,3:33,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/a6db8eb1fb3eebf2
8,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Grant Dawson  vs  Diego Ferreira,Grant Dawson,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Frank Trigg,Felicia Oh 27 - 30.RaphaelDavis 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/aa3fca085d476636
9,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Karol Rosa  vs  Ailin Perez,Ailin Perez,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29.Jonathan Romero 28 - 29.Chris Crail 27 - 30.,http://ufcstats.com/fight-details/340fcdcabc49f142
10,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Rinya Nakamura  vs  Muin Gafurov,Muin Gafurov,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Leben 27 - 30.Derek Cleary 27 - 30.Felicia Oh 27 - 30.,http://ufcstats.com/fight-details/e5e3d396a9b1c5ae
11,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Ricky Turcios  vs  Benardo Sopaj,Benardo Sopaj,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Frank Trigg,Brian Tyler27 - 30.Felicia Oh 27 - 30.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/95ba27bea09cd84e
12,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Tagir Ulanbekov  vs  Clayton Carpenter,Tagir Ulanbekov,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Blake Grice,Brian Tyler27 - 30.Jonathan Romero 27 - 30.RaphaelDavis 28 - 29.,http://ufcstats.com/fight-details/e294a1e5723011db
13,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Mackenzie Dern  vs  Amanda Ribas,Mackenzie Dern,Women's Strawweight Bout,Submission,3,4:56,5 Rnd (5-5-5-5-5),Mark Smith,Armbar From Mount ,http://ufcstats.com/fight-details/f46308108eb9261a
14,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Santiago Ponzinibbio  vs  Carlston Harris,Santiago Ponzinibbio,Welterweight Bout,KO/TKO,3,3:13,3 Rnd (5-5-5),Kerry Hatley,Punches to Head At Distance ,http://ufcstats.com/fight-details/ce4fc800a7456d18
15,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Cesar Almeida  vs  Abdul Razak Alhassan,Cesar Almeida,Middleweight Bout,KO/TKO,1,4:16,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/a2a5809ed8a01b45
16,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Chris Curtis  vs  Roman Kopylov,Roman Kopylov,Middleweight Bout,KO/TKO,3,4:59,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance ,http://ufcstats.com/fight-details/aa38e39397dbea72
17,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Christian Rodriguez  vs  Austin Bashi,Christian Rodriguez,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.David Lethaby 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/03c1865919daeaa4
18,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Punahele Soriano  vs  Uros Medic,Punahele Soriano,Welterweight Bout,KO/TKO,1,0:31,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/32cc31b76b32ade1
19,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Jose Johnson  vs  Felipe Bunes,Felipe Bunes,Flyweight Bout,Submission,1,2:04,3 Rnd (5-5-5),Kerry Hatley,Armbar On Ground ,http://ufcstats.com/fight-details/8a3281b0d7c168af
20,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Marco Tulio  vs  Ihor Potieria,Marco Tulio,Middleweight Bout,KO/TKO,1,3:04,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/8d68863242695224
21,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Thiago Moises  vs  Trey Ogden,Thiago Moises,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Sal D'amato 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/54fa6e32330a8cca
22,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Preston Parsons  vs  Jacobe Smith,Jacobe Smith,Welterweight Bout,KO/TKO,1,1:13,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/58eda5a58a89f739
23,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Ernesta Kareckaite  vs  Nicolle Caliari,Ernesta Kareckaite,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Sal D'amato 28 - 29.Mike Bell 29 - 28.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/b33e3a6d15700bb1
24,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Magomed Gadzhiyasulov  vs  Bruno Lopes,Bruno Lopes,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 28 - 29.David Lethaby 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/817cd15077a9419e
25,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Fatima Kline  vs  Viktoriia Dudakova,Fatima Kline,Women's Strawweight Bout,KO/TKO,2,4:27,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/f01851055b8309e0
26,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Nurullo Aliev  vs  Joe Solecki,Nurullo Aliev,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,David Lethaby 27 - 30.Mike Bell 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/192619174bd1ad77
27,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Colby Covington  vs  Joaquin Buckley,Joaquin Buckley,Welterweight Bout,TKO - Doctor's Stoppage,3,4:42,5 Rnd (5-5-5-5-5),Dan Miragliotta,Cut above eye,http://ufcstats.com/fight-details/00c6a2ef07ca51da
28,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Cub Swanson  vs  Billy Quarantillo,Cub Swanson,Featherweight Bout,KO/TKO,3,1:36,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/7521015554088962
29,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Manel Kape  vs  Bruno Silva,Manel Kape,Flyweight Bout,KO/TKO,3,1:57,3 Rnd (5-5-5),Keith Peterson,Punches to Head At Distance ,http://ufcstats.com/fight-details/1a635a5e4551e7d5
30,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Manel Kape  vs  Bruno Silva,Manel Kape,Flyweight Bout,KO/TKO,3,1:57,3 Rnd (5-5-5),Keith Peterson,Punches to Head At Distance ,http://ufcstats.com/fight-details/1a635a5e4551e7d5
31,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Vitor Petrino  vs  Dustin Jacoby,Dustin Jacoby,Light Heavyweight Bout,KO/TKO,3,3:44,3 Rnd (5-5-5),Andrew Glenn,Punch to Head At Distance ,http://ufcstats.com/fight-details/7b1bc4ff776f12c1
32,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Adrian Yanez  vs  Daniel Marcos,Daniel Marcos,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary 27 - 30.Chris Lee 29 - 28.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/5238f6470d0557fb
33,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Navajo Stirling  vs  Tuco Tokkos,Navajo Stirling,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jason Grenier 27 - 30.Eric Colon 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/2b6a75175bbca4e9
34,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Michael Johnson  vs  Ottman Azaitar,Michael Johnson,Lightweight Bout,KO/TKO,2,2:03,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/9c24c03131d5b49a
35,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Joel Alvarez  vs  Drakkar Klose,Joel Alvarez,Lightweight Bout,KO/TKO,1,2:48,3 Rnd (5-5-5),Dan Miragliotta,Knee to Head At Distance ,http://ufcstats.com/fight-details/b0be38110c2d8b84
36,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Sean Woodson  vs  Fernando Padilla,Sean Woodson,Featherweight Bout,KO/TKO,1,4:58,3 Rnd (5-5-5),Andrew Glenn,Punches to Head At Distance ,http://ufcstats.com/fight-details/ebeeed2595266bbc
37,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Miles Johns  vs  Felipe Lima,Felipe Lima,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Troy Wincapaw 27 - 30.Chris Lee 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/cf258c17234d649e
38,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Miranda Maverick  vs  Jamey-Lyn Horth,Miranda Maverick,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Solimar Miranda 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/e5f9d59d00fe3c73
39,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Davey Grant  vs  Ramon Taveras,Davey Grant,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary 28 - 29.Eric Colon 27 - 30.Christopher Edgehill 27 - 30.,http://ufcstats.com/fight-details/b40e4deb48658851
40,UFC Fight Night: Covington Vs. Buckley,"December 14, 2024","Tampa, Florida, USA",Josefine Knutsson  vs  Piera Rodriguez,Piera Rodriguez,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 27 - 30.Jason Grenier 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/edf7ce89ad672e85
41,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Alexandre Pantoja  vs  Kai Asakura,Alexandre Pantoja,UFC Flyweight Title Bout,Submission,2,2:05,5 Rnd (5-5-5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/e761c5009c09b295
42,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Shavkat Rakhmonov  vs  Ian Machado Garry,Shavkat Rakhmonov,Welterweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 47 - 48.Chris Lee 47 - 48.Ron McCarthy 47 - 48.,http://ufcstats.com/fight-details/1569186ee820ea87
43,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Ciryl Gane  vs  Alexander Volkov,Ciryl Gane,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29.Eric Colon 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/f706508c52f337a6
44,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Bryce Mitchell  vs  Kron Gracie,Bryce Mitchell,Featherweight Bout,KO/TKO,3,0:39,3 Rnd (5-5-5),Keith Peterson,Elbows to Head From Guard ,http://ufcstats.com/fight-details/0292b9c31c0089ac
45,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Nate Landwehr  vs  Dooho Choi,Dooho Choi,Featherweight Bout,KO/TKO,3,3:21,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Crucifix ,http://ufcstats.com/fight-details/089388c9f00ce9c6
46,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Dominick Reyes  vs  Anthony Smith,Dominick Reyes,Light Heavyweight Bout,KO/TKO,2,4:46,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground ,http://ufcstats.com/fight-details/97caf8fca9d9603b
47,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Vicente Luque  vs  Themba Gorimbo,Vicente Luque,Welterweight Bout,Submission,1,0:52,3 Rnd (5-5-5),Mark Smith,Anaconda Choke On Ground ,http://ufcstats.com/fight-details/4914f7bd073c6359
48,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Movsar Evloev  vs  Aljamain Sterling,Movsar Evloev,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/df30514e0674d598
49,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Randy Brown  vs  Bryan Battle,Bryan Battle,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 29 - 28.Adalaide Byrd 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/7c0d0a28a8fba102
50,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Chris Weidman  vs  Eryk Anders,Eryk Anders,Catch Weight Bout,KO/TKO,2,4:51,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/0f16d83859d608c7
51,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Cody Durden  vs  Joshua Van,Joshua Van,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Eric Colon 26 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/d38029cf47e54cf7
52,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Michael Chiesa  vs  Max Griffin,Michael Chiesa,Welterweight Bout,Submission,3,1:56,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/a5c57b0f49e9f61c
53,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Clay Guida  vs  Chase Hooper,Chase Hooper,Lightweight Bout,Submission,1,3:41,3 Rnd (5-5-5),Keith Peterson,Armbar From Mount ,http://ufcstats.com/fight-details/72b12a837290b327
54,UFC 310: Pantoja Vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",Kennedy Nzechukwu  vs  Lukasz Brzeski,Kennedy Nzechukwu,Heavyweight Bout,KO/TKO,1,4:51,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance ,http://ufcstats.com/fight-details/eb94412f15c62650
55,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Petr Yan  vs  Deiveson Figueiredo,Petr Yan,Bantamweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Sal D'amato 45 - 50.David Lethaby 45 - 50.Clemens Werner 45 - 50.,http://ufcstats.com/fight-details/f53573316a4f349f
56,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Yan Xiaonan  vs  Tabatha Ricci,Yan Xiaonan,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Sal D'amato 27 - 30.Mark Collett 27 - 30.Vito Paolillo 27 - 30.,http://ufcstats.com/fight-details/f0c4aff7dd1ec4e9
57,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Song Kenan  vs  Muslim Salikhov,Muslim Salikhov,Welterweight Bout,KO/TKO,1,3:49,3 Rnd (5-5-5),Mark Craig,Kick to Head At DistanceWheel kick,http://ufcstats.com/fight-details/bec57d7cce0e6257
58,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Wang Cong  vs  Gabriella Fernandes,Gabriella Fernandes,Women's Flyweight Bout,Submission,2,3:49,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/64d6d51219e0664c
59,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Volkan Oezdemir  vs  Carlos Ulberg,Carlos Ulberg,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Christie 27 - 30.Vito Paolillo 27 - 30.Evan Field 28 - 29.,http://ufcstats.com/fight-details/02ec66f311dce539
60,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Zhang Mingyang  vs  Ozzy Diaz,Zhang Mingyang,Light Heavyweight Bout,KO/TKO,1,2:25,3 Rnd (5-5-5),Kevin Sataki,Elbow to Head At Distance ,http://ufcstats.com/fight-details/56d2c00dfd391fcf
61,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Baergeng Jieleyisi  vs  SuYoung You,SuYoung You,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Mike Beltran,Mark Christie 27 - 30.Clemens Werner 27 - 30.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/9c207acb12c17a67
62,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Kiru Sahota  vs  DongHun Choi,DongHun Choi,Flyweight Bout,KO/TKO,1,2:36,3 Rnd + OT (5-5-5-5),Mark Craig,Punch to Head At Distance ,http://ufcstats.com/fight-details/828de4f5585c908c
63,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Shi Ming  vs  Feng Xiaocan,Shi Ming,Women's Strawweight Bout,KO/TKO,3,0:46,3 Rnd + OT (5-5-5-5),Kevin Sataki,Kick to Head At Distance ,http://ufcstats.com/fight-details/baee9b2491c986e2
64,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Nyamjargal Tumendemberel  vs  Carlos Hernandez,Carlos Hernandez,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mark Collett 28 - 29.Sal D'amato 29 - 28.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/5dab54e34c2cfe01
65,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Lone'er Kavanagh  vs  Jose Ochoa,Lone'er Kavanagh,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Craig,Mark Christie 27 - 30.Evan Field 28 - 29.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/38f1c83c19e99fa2
66,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Xiao Long  vs  Quang Le,Xiao Long,Bantamweight Bout,KO/TKO,3,1:28,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/f5f28a8b472b8012
67,UFC Fight Night: Yan Vs. Figueiredo,"November 23, 2024","Macau, China",Maheshate  vs  Nikolas Motta,Nikolas Motta,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Evan Field 27 - 30.David Lethaby 27 - 30.Vito Paolillo 27 - 30.,http://ufcstats.com/fight-details/86a2f07e0bf20297
68,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Jon Jones  vs  Stipe Miocic,Jon Jones,UFC Heavyweight Title Bout,KO/TKO,3,4:29,5 Rnd (5-5-5-5-5),Herb Dean,Spinning Back Kick Body ,http://ufcstats.com/fight-details/b35e47f2f58ef026
69,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Charles Oliveira  vs  Michael Chandler,Charles Oliveira,Lightweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Eric Colon 46 - 49.Junichiro Kamijo 46 - 49.Ron McCarthy 45 - 49.,http://ufcstats.com/fight-details/4f4189009a190e35
70,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Bo Nickal  vs  Paul Craig,Bo Nickal,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Chris Bolinski 27 - 30.Sal D'amato 27 - 30.Bryan Miner 27 - 30.,http://ufcstats.com/fight-details/cfd3e62c638fbd1f
71,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Viviane Araujo  vs  Karine Silva,Viviane Araujo,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/8545a2495db16538
72,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Mauricio Ruffy  vs  James Llontop,Mauricio Ruffy,Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Eric Colon 28 - 29.Ron McCarthy 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/55eebc2ee92bf00a
73,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Jonathan Martinez  vs  Marcus McGhee,Marcus McGhee,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Bolinski 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/2a930e2d7e1f87a9
74,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Jim Miller  vs  Damon Jackson,Jim Miller,Lightweight Bout,Submission,1,2:44,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/35c8223cc967fe0a
75,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",David Onama  vs  Roberto Romero,David Onama,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Bolinski 27 - 30.Chris Lee 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/c565e2baa27cc7e5
76,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Marcin Tybura  vs  Jhonata Diniz,Marcin Tybura,Heavyweight Bout,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Herb Dean,Doctor's Stoppage,http://ufcstats.com/fight-details/6c1faa6284428e5d
77,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Mickey Gall  vs  Ramiz Brahimaj,Ramiz Brahimaj,Welterweight Bout,KO/TKO,1,2:55,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance ,http://ufcstats.com/fight-details/00414fc5519233b4
78,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Bassil Hafez  vs  Oban Elliott,Oban Elliott,Welterweight Bout,KO/TKO,3,0:40,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/9676a4e9362e4bfd
79,UFC 309: Jones Vs. Miocic,"November 16, 2024","New York City, New York, USA",Veronica Hardy  vs  Eduarda Moura,Eduarda Moura,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Junichiro Kamijo 27 - 30.Chris Bolinski 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/40e2a7b65794ac05
